gmag  g-r   r-i   rh[pc]            
20.13  0.60  0.05  _            
19.62  1.00  0.44  _            
19.76  1.16  0.46  _            
20.12  1.02  0.43  _            
20.54  1.23  0.43  _            
18.03  0.56  0.27  _            
20.21  1.39  0.51  _            
18.84  1.06  0.52  _            
20.23  1.44  0.53  _            
21.85  2.18 -0.65  _            
19.66  1.05  0.36  _            
19.38  0.47  0.25  _            
18.08  0.48  0.35  _            
19.93  0.63  0.33  _            
20.19  0.96  0.49  _            
19.80  0.73  0.27  _            
19.78  1.27  0.62  _            
18.30  1.00  0.44  _            
20.07  0.84  0.10  _            
19.42  0.56  0.32  _            
20.05  0.62  0.26  _            
20.23  0.57  0.37  _            
18.81  1.30  0.44  _            
18.64  1.11  0.77  _            
18.69  0.62  0.35  _            
19.89  0.43  0.10  _            
19.24  0.98  0.38  _            
17.82  0.99  0.42  _            
19.04  0.36  0.29  _            
20.03  1.38  0.68  _            
19.51  1.35  0.54  _            
19.68  1.11  0.41  _            
19.53  0.36  0.23  _            
18.69  0.64  0.37  _            
21.00  1.63  0.50  _            
19.77  0.51  0.18  _            
18.95  1.28  0.44  _            
20.04  1.46  0.61  _            
20.03  1.17  0.60  _            
19.96  0.79  0.43  _            
19.88  1.08  0.44  _            
19.98  1.06  0.42  _            
20.10  1.15  0.43  _            
19.71  0.68  0.41  _            
19.01  1.32  0.52  _            
19.99  0.78  0.38  _            
19.26  0.68  0.40  _            
19.61  0.74  0.41  _            
19.72  0.97  0.47  _            
18.86  1.09  0.41  _            
19.81  0.82  0.30  _            
19.60  1.31  0.56  _            
19.47  0.61  0.32  _            
19.39  0.68  0.37  _            
19.94  1.32  0.73  _            
19.00  1.27  0.48  _            
20.20  1.16  0.49  _            
18.95 -0.28 -0.30  _            
19.69  1.17  0.47  _            
19.62  0.40  0.17  _            
19.00  1.00  0.42  _            
19.69  0.40  0.22  _            
20.40  0.87  0.21  _            
20.86  0.85  0.16  _            
20.22  0.90  0.45  _            
19.85  0.48  0.24  _            
18.23  0.69  0.27  _            
18.83  1.21  0.46  _            
18.87  1.09  0.47  _            
18.37  1.07  0.51  _            
20.14  0.60  0.19  _            
19.75  0.93  0.40  _            
20.80  0.85  0.31  _            
20.43  0.82  0.36  _            
19.66  1.00  0.41  _            
19.22  0.31  0.31  _            
19.26  0.99  0.44  _            
19.21  0.96  0.40  _            
19.23  0.78  0.32  _            
19.61  1.07  0.47  _            
19.02  0.49  0.28  _            
18.77  0.29  0.12  _            
19.98  0.75  0.35  _            
20.06  0.55  0.39  _            
17.68  1.08  0.48  _            
20.64  1.30  0.39  _            
18.97  1.02  0.42  _            
18.92  0.64  0.19  _            
18.03  0.70  0.35  _            
19.82  1.50  0.50  _            
19.07  0.49  0.20  _            
19.77  0.97  0.37  _            
18.44  0.13  0.21  _            
19.11  0.49  0.21  _            
17.87  0.66  0.72  _            
19.03  0.56  0.34  _            
19.05  0.55  0.36  _            
18.70  0.68  0.30  _            
17.85  0.63  0.39  _            
18.68  0.41  0.36  _            
19.10  0.46  0.44  _            
17.38  0.19  0.14  _            
16.98  0.15  0.09  _            
17.71  0.37  0.24  _            
19.29 -0.28  0.15  _            
17.44  0.01 -0.23  _            
19.39  0.55  0.37  _            
18.31  0.28  0.13  _            
18.18  0.42  0.18  _            
17.20  0.42  0.35  _            
17.91  0.21  0.16  _            
19.36  0.42  0.47  _            
18.77  0.75  0.41  _            
18.75  0.15  0.09  _            
18.32  0.35  0.28  _            
18.56  0.40  0.33  _            
17.97  0.05 -0.05  _            
18.90  0.49  0.42  _            
18.47  0.35  0.29  _            
17.49  0.21  0.26  _            
18.02  0.23 -0.11  _            
18.25  0.07  0.15  _            
18.75  0.42  0.24  _            
18.53 -0.03 -0.30  _            
18.59  0.01  0.08  _            
18.91  0.48  0.36  _            
18.74  0.36  0.03  _            
17.73  0.38  0.19  _            
17.19  0.32 -0.06  _            
17.74  0.49  0.35  _            
17.71  0.08  0.01  _            
17.83 -0.25 -0.14  _            
18.19  0.42  0.37  _            
17.23  0.44  0.40  _            
18.05  0.09  0.16  _            
