#  myV_F606W  myV_F606We    mycalr_h   mycalr_he
#
       25.59      0.0542           0           0
       23.85      0.0241       2.621      0.4555
       24.08      0.0256       2.281      0.4648
       22.01      0.0171        2.44           0
       22.47       0.019       2.222      0.1828
       22.89      0.0197      0.7233      0.1964
       22.33      0.0181       2.237           0
       23.94      0.0229       3.193      0.5383
       25.02      0.0406           0       9.654
       24.57      0.0278           -1           -1
        23.8      0.0226       1.654      0.3351
       22.12      0.0179       2.197           0
       23.32      0.0187       3.763      0.3414
        24.5      0.0297       2.013      0.6057
       23.13      0.0198       2.831      0.2731
       24.52      0.0285       2.454      0.7441
       21.22      0.0179        2.28           0
       21.43      0.0179       2.103           0
       22.52      0.0178        3.23      0.2715
       24.92      0.0345       3.428       1.143
        22.8      0.0198      0.5118           0
       24.03      0.0239       1.085      0.3749
       24.31      0.0263       1.917      0.7932
       24.76      0.0335       3.797       1.058
       24.87      0.0364       2.206       1.042
       23.22       0.023           -1           -1
       24.56       0.031           -1           -1
       24.21      0.0252       1.723      0.3862
       23.62        0.02        3.17      0.3112
       21.64      0.0183           -1           -1
       22.15      0.0184           -1           -1
       24.19      0.0257       2.399      0.5856
       24.95      0.0355           0      0.7612
       25.72      0.0571     0.05014           0
        24.8      0.0312        2.06      0.7207
       23.45      0.0286           -1           -1
       25.29      0.0441       2.862       2.904
       21.29      0.0172       2.164           0
       22.71      0.0184       2.418       0.207
       24.48      0.0295      0.9731      0.6804
        23.4      0.0192       2.613      0.2957
       22.91       0.019       1.629           0
       23.35      0.0195       2.182      0.2651
       21.99      0.0254           -1           -1
       21.98      0.0195       1.506           0
       25.14      0.0407       3.241       1.076
       24.79      0.0348           0        7.97
       23.77      0.0239       1.316      0.3633
       21.69      0.0168       3.582           0
       24.15      0.0255         1.2      0.5205
       23.66      0.0213       3.332      0.7856
       24.97      0.0365       1.644       0.824
       24.61      0.0348           -1           -1
       24.91      0.0342       2.569       0.979
       25.14      0.0403       2.229       1.183
        23.3      0.0206       1.323      0.3906
       22.18      0.0168       3.374           0
       25.89       0.063           0           0
       25.23      0.0444      0.4759       1.733
       25.24      0.0407           -1           -1
       22.53      0.0185      0.9837           0
       23.93      0.0269      0.4373      0.5246
       21.49      0.0171       2.433           0
       24.16      0.0245       1.651      0.4046
       24.08      0.0254      0.9087      0.5294
       24.04      0.0234       1.681      0.4392
       25.28      0.0421      0.7096       1.335
       22.93      0.0195       1.626      0.2151
       23.83      0.0218       1.299      0.3439
       23.71       0.022           -1           -1
       23.32      0.0189       2.326       0.326
       21.24      0.0229     0.05616      0.4243
       24.47      0.0272         1.8      0.6388
       25.89      0.0624           -1           -1
       21.99      0.0167       3.728           0
       24.72      0.0377           -1           -1
       23.88      0.0228       1.272      0.3338
       23.98       0.023        2.69      0.4969
       23.33      0.0224           0      0.2898
       24.72        0.03       2.229      0.6829
       22.93      0.0186       2.173           0
       25.32       0.042      0.2798       2.003
       22.89      0.0183       3.326      0.4657
       25.23      0.0407     0.07517        4119
       24.22      0.0249       2.655      0.6043
       22.56      0.0179       1.913      0.2028
       21.43      0.0161       3.342           0
       25.62      0.0525       3.678       2.024
       24.71      0.0336           0           0
       24.11      0.0229       1.964       0.462
       21.71      0.0177      0.6273           0
       25.63      0.0484           -1           -1
