				ID												RA											DEC								RAh	RAm	RAs			DECd	DECm	DECs							mag									mag_err				reff								reff_err					sersic_n				sersic_n_error			elon				elon_err					PA							PA_err								flag
54_316117_35_783222              54.315665              -35.783657           03 37 15.76     -35 47 01.2                    22.03              0.00           11.69              0.52              0.60              0.08              0.59              0.04       70.91           3.91                    new                                                          
54_332503_35_521675              54.332849              -35.521601           03 37 19.88     -35 31 17.8                    20.63              0.00            9.87              0.23              2.27              0.08              0.85              0.02        1.92           6.25                    new                                                          
54_393361_34_566559              54.393832              -34.566501           03 37 34.52     -34 33 59.4                    20.34              0.00           20.02              0.59              0.86              0.05              0.52              0.02       48.59           1.88                    new                                                          
54_403239_34_741404              54.403584              -34.741585           03 37 36.86     -34 44 29.7                    19.98              0.01            7.66              0.10              1.13              0.02              0.78              0.01       65.65           1.49                    old                                                          
54_410467_35_385560              54.410400              -35.385500           03 37 38.50     -35 23 07.8                    20.00              0.00           19.00              0.32              0.76              0.03              0.84              0.02      -25.89           4.39                    new                                                          
54_421274_35_296164              54.421200              -35.296146           03 37 41.09     -35 17 46.1                    18.61              0.00           22.33              0.13              0.79              0.01              0.81              0.00       79.94           0.85                    old                                                          
54_421549_36_173427              54.420634              -36.173910           03 37 40.95     -36 10 26.1                    20.44              0.00           30.92              0.99              0.77              0.05              0.69              0.03       50.20           3.99                    new                                                          
54_424704_35_955186              54.424789              -35.955757           03 37 41.95     -35 57 20.7                    19.58              0.01           39.05              0.73              0.84              0.02              0.45              0.00      -19.31           0.67                    old                                                          
54_435270_35_703485              54.435199              -35.703984           03 37 44.45     -35 42 14.3                    20.38              0.00           13.14              0.20              0.59              0.02              0.91              0.02       33.60           7.87                    new                                                          
54_457849_35_550253              54.457799              -35.550438           03 37 49.87     -35 33 01.6                    21.76              0.00           12.29              0.56              0.50              0.07              0.75              0.04      -28.33           7.49                    new                                                          
54_461294_35_362599              54.462119              -35.362881           03 37 50.91     -35 21 46.4                    21.52              0.00           17.50              0.69              0.48              0.06              0.59              0.03       57.88           3.73                    new                                                          
54_477239_34_882137              54.477823              -34.882293           03 37 54.68     -34 52 56.3                    16.56              0.00           32.65              0.08              1.32              0.00              0.81              0.00      -29.54           0.27                    old                                                          
54_526099_36_050424              54.526090              -36.050146           03 38 06.26     -36 03 00.5                    19.98              0.00           15.27              0.22              0.67              0.02              0.94              0.02       73.74           9.90                    new                                                          
54_527956_35_592435              54.527900              -35.592000           03 38 06.70     -35 35 31.2                    22.41              0.05           11.40              0.85              0.55              0.10              0.65              0.04      -54.83           6.57                    old                                                          
54_531334_36_071826              54.531330              -36.072092           03 38 07.52     -36 04 19.5                    22.73              0.00           15.62              1.81              0.71              0.20              0.56              0.09      -54.80           8.65                    new                                                          
54_535323_36_008573              54.535271              -36.008354           03 38 08.47     -36 00 30.1                    21.24              0.00           12.88              0.45              0.80              0.06              0.71              0.03       85.33           4.62                    new                                                          
54_536126_35_165484              54.535921              -35.165108           03 38 08.62     -35 09 54.4                    20.26              0.00           23.24              0.45              0.41              0.03              0.83              0.02      -81.12           4.72                    new                                                          
54_546496_36_337462              54.545856              -36.337657           03 38 11.01     -36 20 15.6                    20.67              0.02           18.39              0.65              0.49              0.04              0.85              0.03      -52.44           8.55                    old                                                          
54_561855_35_123046              54.562036              -35.122848           03 38 14.89     -35 07 22.3                    21.24              0.00           16.61              0.68              0.71              0.07              0.76              0.04       85.41           7.06                    new                                                          
54_564169_36_280861              54.564160              -36.281169           03 38 15.40     -36 16 52.2                    20.31              0.03           24.78              0.96              0.59              0.04              0.72              0.02       25.11           4.17                    old                                                          
54_575035_34_674522              54.575622              -34.674438           03 38 18.15     -34 40 28.0                    19.88              0.02           22.51              0.61              0.93              0.03              0.58              0.01      -72.29           1.77                    old                                                          
54_580221_36_065543              54.580131              -36.065719           03 38 19.23     -36 03 56.6                    18.14              0.00           28.39              0.16              0.85              0.01              0.77              0.00      -16.99           0.77                    old                                                          
54_593458_34_927071              54.593667              -34.926927           03 38 22.48     -34 55 36.9                    20.98              0.04           19.93              1.01              0.97              0.06              0.58              0.02      -62.37           2.95                    old                                                          
54_595687_35_759487              54.595511              -35.760315           03 38 22.92     -35 45 37.1                    23.06              0.00            6.60              0.43              0.37              0.12              0.70              0.06       84.38           8.99                    new                                                          
54_603719_36_071817              54.603971              -36.071598           03 38 24.95     -36 04 17.8                    22.93              0.00            5.37              0.27              0.13              0.10              0.69              0.04       62.87           6.36                    new                                                          
54_606718_36_095700              54.606718              -36.095700           03 38 25.61     -36 05 44.5                    22.26              0.00            4.69              0.20              1.05              0.13              0.90              0.05      -40.29          19.66                    new                                                          
54_613138_35_152030              54.613447              -35.152073           03 38 27.23     -35 09 07.5                    20.45              0.00           25.77              0.60              1.65              0.05              0.45              0.01      -55.48           1.09                    new                                                          
54_631350_34_774261              54.631123              -34.774638           03 38 31.47     -34 46 28.7                    20.97              0.02           10.51              0.24              0.81              0.03              0.55              0.01      -54.80           1.23                    old                                                          
54_652490_35_833886              54.652580              -35.833946           03 38 36.62     -35 50 02.2                    18.46              0.00           19.28              0.09              0.79              0.01              0.90              0.00       17.87           1.45                    old                                                          
54_675841_35_552272              54.675859              -35.552130           03 38 42.21     -35 33 07.7                    19.28              0.00           16.91              0.15              0.77              0.01              0.73              0.01      -75.47           1.28                    new                                                          
54_695749_34_986740              54.695702              -34.986876           03 38 46.97     -34 59 12.8                    21.69              0.00            9.35              0.30              0.89              0.07              0.57              0.02       52.04           2.65                    new                                                          
