CGF_11-13  3 46 05.55  -35 27 25.5  S         20.13    1.2  0.8  21.27                                   21.44  1.16  e
CGF_11-6   3 46 05.65  -35 28 15.9  S         19.31    1.8  1.5  21.80                                   21.48  1.32  d
CGF_11-3   3 46 06.41  -35 23 55.8  S         18.50    1.1  0.7  20.07                                   20.68  1.52  b
CGF_11-1   3 46 11.61  -35 24 19.7  E         17.95    0.7              0.27  15.36  0.00  14.56   2.45               
CGF_11-15  3 46 12.97  -35 30 42.9  S         20.20    1.5  1.2  21.88                                     
CGF_11-4   3 46 13.21  -35 24 22.9  E(pec)    18.98    0.9  0.4  19.26  0.33  15.24  0.00  12.66   0.90               
CGF_11-14  3 46 13.31  -35 23 39.9  Irr       20.15    1.6  1.2  21.85                           
CGF_11-9   3 46 15.39  -35 26 04.7  E         19.87 n  0.7              0.21  15.69  0.00  16.89   3.22               
CGF_11-7   3 46 17.30  -35 27 22.2  S         19.62    1.2  0.7  20.99                                   20.73  0.84  d
CGF_11-5   3 46 21.18  -35 23 18.0  E         19.19    0.7              0.44  17.35  0.04  12.49   0.70               
CGF_11-16  3 46 21.69  -35 29 24.0  S         20.25    1.3  0.9  21.31                            
CGF_11-2   3 46 23.89  -35 28 46.4  S         18.20    1.4  0.9  20.18                                   20.64  1.74  b
